GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,homePosition,homePoints,homePercentage,awayPosition,awayPoints,awayPercentage,Day,Month
2012R0701,2012,7,2012-05-11,17.0,9.4,1.8,M.C.G.,1900-01-01 19:50:00,36430,Melbourne,3.3,3.5,5.11,6.13,49,Hawthorn,2.6,8.12,10.18,15.25,115,18.0,0.0,56.8,9.0,16.0,123.1,Friday,5
2012R0702,2012,7,2012-05-12,17.0,6.8,0.0,Football Park,1900-01-01 12:45:00,35535,Adelaide,6.3,14.5,17.7,19.8,122,Geelong,3.2,4.2,6.8,10.12,72,3.0,24.0,126.1,10.0,16.0,103.5,Saturday,5
2012R0703,2012,7,2012-05-12,14.4,0.1,0.0,Manuka Oval,1900-01-01 13:40:00,8603,Greater Western Sydney,4.2,5.8,8.13,13.16,94,Gold Coast,1.3,7.9,9.11,9.13,67,16.0,4.0,50.5,17.0,0.0,61.5,Saturday,5
2012R0704,2012,7,2012-05-12,15.5,7.1,0.2,M.C.G.,1900-01-01 16:40:00,40352,Richmond,5.6,7.9,8.11,13.13,91,Sydney,0.2,2.7,6.9,8.14,62,12.0,12.0,106.9,5.0,20.0,125.5,Saturday,5
2012R0705,2012,7,2012-05-12,27.2,13.4,0.0,Gabba,1900-01-01 19:40:00,27926,Brisbane Lions,2.1,3.7,7.9,8.1,58,Collingwood,6.4,9.7,12.12,17.14,116,14.0,8.0,73.4,7.0,20.0,107.0,Saturday,5
2012R0706,2012,7,2012-05-12,15.5,7.1,0.2,Docklands,1900-01-01 19:40:00,43260,Essendon,1.6,5.1,12.14,16.17,113,West Coast,1.3,3.5,3.7,7.1,52,2.0,24.0,136.6,1.0,24.0,138.4,Saturday,5
2012R0707,2012,7,2012-05-13,13.2,9.1,3.6,Docklands,1900-01-01 13:10:00,20885,North Melbourne,3.1,6.5,11.8,12.11,83,Western Bulldogs,3.3,9.6,14.8,15.11,101,11.0,12.0,114.2,13.0,12.0,88.9,Sunday,5
2012R0708,2012,7,2012-05-13,22.9,11.4,0.0,Subiaco,1900-01-01 14:40:00,30079,Fremantle,2.8,6.9,8.14,12.15,87,Port Adelaide,3.2,3.4,6.4,7.5,47,6.0,20.0,114.2,15.0,4.0,76.2,Sunday,5
2012R0709,2012,7,2012-05-14,15.8,6.8,6.2,Docklands,1900-01-01 19:40:00,38823,St Kilda,5.3,11.5,16.6,19.8,122,Carlton,5.1,8.6,12.1,14.14,98,8.0,16.0,126.1,4.0,20.0,140.2,Monday,5
2012R0801,2012,8,2012-05-18,17.2,8.8,0.0,M.C.G.,1900-01-01 19:50:00,75650,Collingwood,3.6,7.9,10.11,14.12,96,Geelong,2.4,6.6,7.12,11.18,84,5.0,24.0,107.9,10.0,16.0,101.4,Friday,5
2012R0802,2012,8,2012-05-19,17.0,8.3,3.0,Football Park,1900-01-01 13:15:00,14508,Port Adelaide,5.1,6.2,8.6,14.11,95,North Melbourne,4.1,7.5,11.9,14.9,93,15.0,8.0,79.3,12.0,12.0,112.2,Saturday,5
2012R0803,2012,8,2012-05-19,16.1,6.2,3.2,York Park,1900-01-01 14:10:00,12959,Hawthorn,2.4,10.9,13.12,17.17,119,Fremantle,0.3,2.6,7.8,9.9,63,6.0,20.0,129.5,8.0,20.0,102.6,Saturday,5
2012R0804,2012,8,2012-05-19,22.2,10.2,2.0,S.C.G.,1900-01-01 16:40:00,20818,Sydney,7.1,11.4,16.9,21.12,138,Melbourne,0.3,1.5,2.7,5.7,37,4.0,24.0,141.5,18.0,0.0,52.5,Saturday,5
2012R0805,2012,8,2012-05-19,32.1,19.8,0.0,Marrara Oval,1900-01-01 19:10:00,8724,Western Bulldogs,1.3,2.6,6.12,9.18,72,Gold Coast,1.5,2.9,3.1,4.1,34,11.0,16.0,95.2,17.0,0.0,60.3,Saturday,5
2012R0806,2012,8,2012-05-19,14.4,10.5,1.8,M.C.G.,1900-01-01 19:50:00,80900,Essendon,6.2,12.7,16.9,19.14,128,Richmond,4.2,6.8,11.16,15.19,109,3.0,28.0,133.4,13.0,12.0,103.0,Saturday,5
2012R0807,2012,8,2012-05-20,24.0,11.3,0.0,Gabba,1900-01-01 13:10:00,16049,Brisbane Lions,7.3,10.9,13.14,19.18,132,Greater Western Sydney,1.2,3.5,4.5,5.1,40,14.0,12.0,88.0,16.0,4.0,47.7,Sunday,5
2012R0808,2012,8,2012-05-20,15.2,4.8,0.2,Docklands,1900-01-01 15:15:00,35917,Carlton,5.2,5.4,7.6,8.7,55,Adelaide,4.5,9.6,13.9,19.1,124,7.0,20.0,122.2,2.0,28.0,134.7,Sunday,5
2012R0809,2012,8,2012-05-20,26.5,9.2,0.0,Subiaco,1900-01-01 14:40:00,38174,West Coast,6.2,13.6,15.7,18.13,121,St Kilda,1.4,5.5,11.1,13.13,91,1.0,28.0,137.7,9.0,16.0,117.0,Sunday,5
2012R0901,2012,9,2012-05-25,10.8,8.4,4.0,Docklands,1900-01-01 19:50:00,29118,Western Bulldogs,1.1,6.2,8.5,11.9,75,Geelong,3.5,6.9,9.9,14.11,95,13.0,16.0,93.2,9.0,20.0,103.7,Friday,5
2012R0902,2012,9,2012-05-26,16.0,7.6,28.0,M.C.G.,1900-01-01 13:45:00,51617,Richmond,4.4,8.8,13.9,21.11,137,Hawthorn,1.3,4.9,8.1,10.15,75,12.0,16.0,110.6,8.0,20.0,116.4,Saturday,5
2012R0903,2012,9,2012-05-26,21.0,11.4,8.2,Carrara,1900-01-01 14:10:00,12416,Gold Coast,2.5,7.6,7.8,10.1,70,Port Adelaide,4.4,7.7,14.14,17.16,118,17.0,0.0,60.2,15.0,12.0,86.7,Saturday,5
2012R0904,2012,9,2012-05-26,16.0,7.6,28.0,Docklands,1900-01-01 16:40:00,34737,St Kilda,3.1,8.7,14.14,16.15,111,Sydney,4.4,5.4,8.6,12.11,83,7.0,20.0,118.8,5.0,24.0,130.7,Saturday,5
2012R0905,2012,9,2012-05-26,16.9,11.1,7.2,Football Park,1900-01-01 19:10:00,44238,Adelaide,3.1,4.5,6.1,6.13,49,Collingwood,3.2,5.6,5.1,10.15,75,3.0,28.0,127.4,4.0,28.0,110.9,Saturday,5
2012R0906,2012,9,2012-05-26,17.4,7.7,0.2,Sydney Showground,1900-01-01 19:40:00,11887,Greater Western Sydney,0.5,2.9,4.11,7.11,53,Essendon,3.1,8.1,13.8,18.11,119,16.0,4.0,47.3,2.0,32.0,140.2,Saturday,5
2012R0907,2012,9,2012-05-27,14.5,8.8,4.6,Docklands,1900-01-01 13:10:00,19988,North Melbourne,6.4,13.8,15.8,17.1,112,Brisbane Lions,3.2,5.4,11.6,15.6,96,11.0,16.0,112.7,14.0,12.0,87.7,Sunday,5
2012R0908,2012,9,2012-05-27,14.5,8.8,4.6,M.C.G.,1900-01-01 15:15:00,28371,Carlton,3.3,7.8,8.14,15.17,107,Melbourne,3.4,5.7,6.1,6.13,49,6.0,24.0,128.9,18.0,0.0,51.8,Sunday,5
2012R0909,2012,9,2012-05-27,24.5,6.2,0.0,Subiaco,1900-01-01 14:40:00,40905,West Coast,0.4,2.8,7.14,11.18,84,Fremantle,1.1,3.2,3.3,5.6,36,1.0,32.0,142.6,10.0,20.0,95.5,Sunday,5
2012R1001,2012,10,2012-06-01,16.1,3.1,0.0,Docklands,1900-01-01 19:50:00,49337,St Kilda,3.4,9.6,10.14,16.17,113,Richmond,3.7,9.8,12.11,18.13,121,9.0,20.0,115.3,10.0,20.0,110.1,Friday,6
2012R1002,2012,10,2012-06-02,16.2,3.8,0.0,Kardinia Park,1900-01-01 13:45:00,17243,Geelong,4.2,7.3,13.8,19.12,126,Greater Western Sydney,4.2,7.3,8.5,9.7,61,8.0,24.0,111.0,17.0,4.0,47.4,Saturday,6
2012R1003,2012,10,2012-06-02,12.7,4.5,0.0,York Park,1900-01-01 14:10:00,16143,Hawthorn,5.2,12.5,20.1,27.12,174,North Melbourne,4.1,6.4,7.4,9.5,59,6.0,24.0,128.9,12.0,16.0,99.8,Saturday,6
2012R1004,2012,10,2012-06-02,20.6,7.4,0.0,Subiaco,1900-01-01 14:40:00,31392,Fremantle,3.3,6.6,10.9,12.1,82,Adelaide,5.2,10.5,12.6,17.9,111,11.0,20.0,92.6,3.0,32.0,128.2,Saturday,6
2012R1005,2012,10,2012-06-02,19.1,9.8,0.0,Football Park,1900-01-01 19:10:00,24746,Port Adelaide,5.2,9.4,10.9,14.15,99,Carlton,3.1,4.2,5.6,6.9,45,13.0,16.0,93.4,7.0,24.0,118.7,Saturday,6
2012R1006,2012,10,2012-06-02,15.4,2.1,0.0,M.C.G.,1900-01-01 19:40:00,42987,Essendon,1.5,2.9,5.13,6.16,52,Melbourne,1.2,4.3,5.5,8.1,58,2.0,32.0,136.4,16.0,4.0,54.6,Saturday,6
2012R1007,2012,10,2012-06-03,22.9,16.4,26.4,Gabba,1900-01-01 13:10:00,15546,Brisbane Lions,3.3,7.4,8.5,16.6,102,West Coast,2.1,5.5,10.7,15.1,100,14.0,16.0,89.2,1.0,32.0,136.9,Sunday,6
2012R1008,2012,10,2012-06-03,15.7,14.0,28.7,S.C.G.,1900-01-01 15:15:00,13505,Sydney,9.0,10.5,16.9,20.12,132,Western Bulldogs,1.1,3.1,4.5,5.1,40,5.0,28.0,141.7,15.0,16.0,83.9,Sunday,6
2012R1009,2012,10,2012-06-03,13.3,5.6,0.8,M.C.G.,1900-01-01 16:40:00,36913,Collingwood,5.4,12.6,18.9,23.11,149,Gold Coast,3.1,5.3,5.7,7.1,52,4.0,32.0,122.4,18.0,0.0,56.9,Sunday,6
2012R1101,2012,11,2012-06-08,13.1,8.1,0.0,Docklands,1900-01-01 19:50:00,47632,Carlton,4.4,6.6,9.1,11.19,85,Geelong,2.2,5.7,10.1,14.13,97,9.0,24.0,115.3,7.0,28.0,111.3,Friday,6
2012R1102,2012,11,2012-06-09,11.9,9.0,6.2,M.C.G.,1900-01-01 13:40:00,43801,Richmond,5.2,6.3,8.8,9.12,66,Fremantle,4.1,7.3,9.6,12.6,78,11.0,20.0,108.1,10.0,24.0,94.5,Saturday,6
2012R1103,2012,11,2012-06-09,20.7,14.7,0.4,Carrara,1900-01-01 16:40:00,12534,Gold Coast,1.3,3.4,6.6,7.7,49,St Kilda,4.3,10.6,15.12,21.18,144,18.0,0.0,54.3,8.0,24.0,124.8,Saturday,6
2012R1104,2012,11,2012-06-09,11.9,9.0,6.2,Docklands,1900-01-01 19:40:00,42785,Essendon,1.5,1.11,2.15,11.16,82,Sydney,5.3,8.6,11.8,13.8,86,4.0,32.0,132.3,2.0,32.0,137.9,Saturday,6
2012R1105,2012,11,2012-06-10,14.6,2.2,0.0,Football Park,1900-01-01 16:10:00,26638,Port Adelaide,3.3,4.7,5.7,9.8,62,Hawthorn,7.4,9.8,12.11,16.12,108,13.0,16.0,89.5,6.0,28.0,132.0,Sunday,6
2012R1106,2012,11,2012-06-11,12.7,1.3,0.0,M.C.G.,1900-01-01 15:15:00,64250,Melbourne,0.4,3.4,7.7,13.9,87,Collingwood,6.3,8.9,10.15,19.15,129,16.0,4.0,55.9,1.0,36.0,124.9,Monday,6
2012R1201,2012,12,2012-06-14,18.2,9.5,0.4,Subiaco,1900-01-01 17:40:00,34224,West Coast,3.3,5.12,6.17,10.19,79,Carlton,2.3,4.4,8.8,10.9,69,1.0,36.0,135.1,9.0,24.0,113.1,Thursday,6
2012R1202,2012,12,2012-06-15,15.4,9.0,0.0,Football Park,1900-01-01 20:10:00,36394,Adelaide,5.3,11.6,16.7,17.13,115,St Kilda,3.1,8.8,10.12,16.15,111,2.0,36.0,125.2,8.0,24.0,121.6,Friday,6
2012R1203,2012,12,2012-06-16,13.3,8.8,0.0,Sydney Showground,1900-01-01 14:10:00,7538,Greater Western Sydney,2.0,5.1,8.1,12.2,74,Richmond,4.2,6.7,9.14,11.2,86,17.0,4.0,50.0,10.0,24.0,108.7,Saturday,6
