GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,homePosition,homePoints,homePercentage,awayPosition,awayPoints,awayPercentage,Day,Month,MinutesSinceMidnight,finalPosition,finalPoints,finalPercentage,finalAPosition,finalAPoints,finalAPercentage
2012R0703,2012,7,2012-05-12,14.4,0.1,0.0,12,1900-01-01 13:40:00,8603,9,4.2,5.8,8.13,13.16,94,8,1.3,7.9,9.11,9.13,67,16.0,4.0,50.5,17.0,0.0,61.5,5,5,820,18,8,46.2,17,12,60.8
2012R0704,2012,7,2012-05-12,15.5,7.1,0.2,2,1900-01-01 16:40:00,40352,14,5.6,7.9,8.11,13.13,91,16,0.2,2.7,6.9,8.14,62,12.0,12.0,106.9,5.0,20.0,125.5,5,5,1000,12,42,111.6,3,64,140.6
2012R0705,2012,7,2012-05-12,27.2,13.4,0.0,7,1900-01-01 19:40:00,27926,2,2.1,3.7,7.9,8.1,58,4,6.4,9.7,12.12,17.14,116,14.0,8.0,73.4,7.0,20.0,107.0,5,5,1180,13,40,91.0,4,64,116.5
2012R0706,2012,7,2012-05-12,15.5,7.1,0.2,5,1900-01-01 19:40:00,43260,5,1.6,5.1,12.14,16.17,113,17,1.3,3.5,3.7,7.1,52,2.0,24.0,136.6,1.0,24.0,138.4,5,5,1180,11,44,100.0,5,60,124.2
2012R0707,2012,7,2012-05-13,13.2,9.1,3.6,5,1900-01-01 13:10:00,20885,12,3.1,6.5,11.8,12.11,83,18,3.3,9.6,14.8,15.11,101,11.0,12.0,114.2,13.0,12.0,88.9,6,5,790,8,56,112.5,15,20,67.0
2012R0708,2012,7,2012-05-13,22.9,11.4,0.0,4,1900-01-01 14:40:00,30079,6,2.8,6.9,8.14,12.15,87,13,3.2,3.4,6.4,7.5,47,6.0,20.0,114.2,15.0,4.0,76.2,6,5,880,7,56,115.7,14,22,78.9
2012R0709,2012,7,2012-05-14,15.8,6.8,6.2,5,1900-01-01 19:40:00,38823,15,5.3,11.5,16.6,19.8,122,3,5.1,8.6,12.1,14.14,98,8.0,16.0,126.1,4.0,20.0,140.2,0,5,1180,9,48,123.3,10,44,108.0
2012R0801,2012,8,2012-05-18,17.2,8.8,0.0,2,1900-01-01 19:50:00,75650,4,3.6,7.9,10.11,14.12,96,7,2.4,6.6,7.12,11.18,84,5.0,24.0,107.9,10.0,16.0,101.4,4,5,1190,4,64,116.5,6,60,117.1
2012R0802,2012,8,2012-05-19,17.0,8.3,3.0,6,1900-01-01 13:15:00,14508,13,5.1,6.2,8.6,14.11,95,12,4.1,7.5,11.9,14.9,93,15.0,8.0,79.3,12.0,12.0,112.2,5,5,795,14,22,78.9,8,56,112.5
2012R0803,2012,8,2012-05-19,16.1,6.2,3.2,13,1900-01-01 14:10:00,12959,10,2.4,10.9,13.12,17.17,119,6,0.3,2.6,7.8,9.9,63,6.0,20.0,129.5,8.0,20.0,102.6,5,5,850,1,68,154.6,7,56,115.7
