Year,Round,MaxTemp,Rainfall,StadiumCapacity,Rivalry,Venue,HomeTeam,AwayTeam,DayC,MinutesSinceMidnight,HomeProbability,previous_game_home_position,previous_game_away_position,previous_game_home_win_loss,previous_game_away_win_loss
-0.5410880637575908,-0.7389046886555021,0.9608569280048386,-0.2184786644670426,-0.7506842666453644,-0.31030002786051086,Gabba,Brisbane Lions,Port Adelaide,Sunday,0.027677274725269593,-1.5308231924782703,1.6547391789759396,0.14724723604994272,1.0783423632476334,-1.0634923802175307
-0.5410880637575908,0.40142117237983166,-0.41573984809727954,-0.33974264397884785,-0.7133604674159787,-0.31030002786051086,Subiaco,West Coast,Adelaide,Saturday,0.44031243524355507,1.068451127892955,-1.4221395043575658,-0.4299136514835211,1.0783423632476334,0.9402982274263747
-0.253877150128021,1.5417470334151655,-0.6123965303975818,-0.33974264397884785,-0.29085667939309595,-0.31030002786051086,Docklands,North Melbourne,Greater Western Sydney,Saturday,1.1624239661505547,-0.8982517138849578,-0.2683099981075013,-0.8146875765058303,-0.927349266876903,0.9402982274263747
-0.5410880637575908,-1.4516083518025857,1.3760210350832547,-0.37005863885679924,-0.29085667939309595,-0.31030002786051086,Docklands,Collingwood,Adelaide,Saturday,-0.006708988651254196,-1.0276400587387675,-0.6529198335241895,-1.5842354265504488,1.0783423632476334,0.9402982274263747
1.4693883316493979,-0.1687417581378352,-0.6997995003088274,-0.3549006414178235,1.598205241473803,-0.31030002786051086,M.C.G.,Melbourne,Fremantle,Saturday,-0.006708988651254196,1.0102263727087404,-1.6144444220659098,-1.0070745390169848,1.0783423632476334,-1.0634923802175307
0.03333376350154884,-0.5963639560260854,0.8516032156157816,-0.37005863885679924,-0.7133604674159787,-0.31030002786051086,Subiaco,West Coast,Western Bulldogs,Friday,0.6466300155026977,0.41794006997276517,-1.0375296689408775,-0.8146875765058303,1.0783423632476334,0.9402982274263747
0.32054467713111867,1.256665568156332,-0.8309039551756957,0.6606851869935458,-0.29085667939309595,-0.31030002786051086,Docklands,North Melbourne,Western Bulldogs,Sunday,-1.4165457870887295,0.7705570316016244,0.1162998373091869,0.9167950860945612,1.0783423632476334,0.9402982274263747
-0.5410880637575908,0.11633970712099823,-0.9620084100425644,-0.37005863885679924,-0.29085667939309595,-0.31030002786051086,Docklands,Carlton,Gold Coast,Sunday,-0.522502939299111,0.4780029063065543,1.2701293435592513,1.493955973628025,1.0783423632476334,-1.0634923802175307
-0.253877150128021,-0.8814454212849188,0.174230198803628,-0.37005863885679924,-0.7133604674159787,-0.31030002786051086,Subiaco,West Coast,Collingwood,Sunday,-0.7975930463113013,1.2556021266993582,-0.2683099981075013,0.33963419856109733,-0.927349266876903,0.9402982274263747
-0.8282989773871606,1.5417470334151655,0.480140593492988,-0.37005863885679924,-0.29085667939309595,-0.31030002786051086,Docklands,Western Bulldogs,Greater Western Sydney,Sunday,0.027677274725269593,0.8728159504739941,0.8855195081425632,1.3015690111168703,-0.927349266876903,-1.0634923802175307
0.32054467713111867,-0.8814454212849188,2.70891632622975,-0.37005863885679924,-0.022020073446946217,3.222687432208448,Perth Stadium,Fremantle,West Coast,Sunday,-0.7975930463113013,-0.6090374135377191,0.308604755017531,-1.391848464039294,1.0783423632476334,0.9402982274263747
0.03333376350154884,-1.0239861539143356,2.184498506762277,-0.37005863885679924,-0.7133604674159787,-0.31030002786051086,Subiaco,Fremantle,North Melbourne,Saturday,0.44031243524355507,0.13540846717697044,0.500909672725875,1.493955973628025,1.0783423632476334,-1.0634923802175307
